1.01,Premium,I,SI1,61.8,58,4185,6.45,6.37,3.96
1.01,Very Good,H,SI2,58.9,60,4185,6.62,6.58,3.89
1.01,Good,G,SI2,63.8,53,4185,6.41,6.31,4.06
1.01,Very Good,I,SI1,63.4,55,4185,6.39,6.35,4.04
1.11,Ideal,G,SI2,61.9,55,4185,6.65,6.6,4.1
1.01,Very Good,G,SI1,63.3,57,4185,6.37,6.35,4.02
0.9,Very Good,H,VVS2,62.9,58,4186,6.1,6.15,3.85
0.9,Very Good,F,VS2,61.2,59,4186,6.2,6.26,3.81
0.96,Very Good,E,SI2,62.6,60,4186,6.26,6.32,3.94
1.01,Very Good,I,SI1,59.7,60,4186,6.49,6.55,3.89
1.15,Ideal,H,SI2,62.2,57,4186,6.68,6.63,4.14
1.15,Premium,F,SI2,61.8,54,4186,6.78,6.75,4.18
0.96,Very Good,I,VS2,59.6,59,4187,6.36,6.42,3.81
0.9,Good,I,VVS1,63.6,58,4187,6.1,6.14,3.89
1.01,Very Good,F,SI2,62.4,58,4187,6.37,6.42,3.99
0.9,Very Good,D,SI1,63.4,53,4187,6.1,6.17,3.89
0.9,Good,D,SI1,62,62,4187,6.06,6.1,3.77
0.91,Very Good,E,SI1,63.7,59,4188,6.13,6.17,3.92
0.91,Very Good,F,SI1,63.1,60,4188,6.13,6.17,3.88
0.87,Ideal,F,SI1,61.7,56,4188,6.1,6.12,3.77
0.87,Premium,D,SI1,62.1,58,4189,6.08,6.13,3.79
1.01,Very Good,I,SI1,63.6,58,4189,6.31,6.36,4.03
0.85,Ideal,E,VS1,63,57,4189,6.08,5.99,3.8
1.02,Ideal,I,SI2,62.8,58,4189,6.37,6.41,4.01
1.01,Good,J,VS1,61.5,61,4189,6.39,6.45,3.95
1,Premium,G,SI1,60,62,4189,6.48,6.45,3.88
1.04,Very Good,I,SI1,64.1,57,4190,6.35,6.38,4.08
0.9,Good,E,SI1,57.9,60,4190,6.3,6.34,3.66
1.01,Premium,H,SI1,60.3,59,4191,6.45,6.42,3.88
0.86,Very Good,D,VS2,62.8,55,4191,6.07,6.13,3.83
1.21,Very Good,J,VS2,62.4,58,4191,6.79,6.83,4.25
0.91,Very Good,E,SI1,63.3,56,4191,6.12,6.17,3.89
0.91,Very Good,E,SI1,58.8,59,4191,6.34,6.39,3.74
0.9,Ideal,E,SI2,62.2,55,4191,6.19,6.22,3.86
1.04,Good,D,SI2,57.6,63,4191,6.67,6.7,3.85
1.01,Good,H,SI1,64,58,4191,6.37,6.31,4.06
0.9,Premium,H,VS2,61.7,59,4191,6.19,6.13,3.8
1.01,Very Good,H,SI1,63.4,58,4191,6.41,6.37,4.05
1.01,Fair,H,SI1,64.6,55,4191,6.29,6.25,4.05
1.01,Premium,H,SI1,61.9,59,4191,6.35,6.32,3.92
1.01,Ideal,H,SI1,60.2,56,4191,6.47,6.42,3.88
1.01,Premium,H,SI1,61.2,59,4191,6.45,6.4,3.93
1.01,Premium,H,SI1,58.8,62,4191,6.59,6.54,3.86
1.01,Premium,H,SI1,58.2,62,4191,6.54,6.48,3.78
1.1,Very Good,I,SI2,62.6,59,4192,6.53,6.57,4.1
1.21,Good,J,SI2,63.7,55,4192,6.75,6.81,4.32
0.89,Ideal,D,SI2,60.8,56,4192,6.22,6.25,3.79
1.04,Very Good,I,SI1,63.2,54,4193,6.49,6.42,4.08
0.91,Very Good,H,VS2,58.3,59,4193,6.35,6.47,3.74
0.9,Good,D,SI1,63.8,58,4193,6.09,6.13,3.9
1.04,Good,H,SI2,57.9,58,4193,6.72,6.68,3.88
1.04,Ideal,H,SI2,60.3,56,4193,6.61,6.58,3.98
0.8,Premium,G,IF,62.6,58,4193,5.93,5.89,3.7
1.07,Good,I,VS2,63.8,60,4194,6.41,6.38,4.08
0.9,Ideal,H,VS1,61.8,56,4194,6.18,6.24,3.84
0.95,Very Good,G,SI2,62.6,58,4194,6.17,6.23,3.88
1.01,Very Good,J,SI1,63,54,4194,6.35,6.41,4.02
0.92,Premium,F,SI1,62.2,59,4194,6.21,6.14,3.84
1.01,Ideal,J,SI1,60.2,59,4194,6.48,6.51,3.91
0.9,Fair,I,VVS1,63.5,57,4194,5.98,6.09,3.83
0.9,Good,G,VS2,63.6,58,4194,6.12,6.08,3.88
1.07,Premium,H,SI2,62.2,59,4194,6.53,6.47,4.04
0.9,Premium,G,VS2,61.3,59,4194,6.21,6.15,3.79
1.13,Very Good,I,SI2,59.9,57,4195,6.76,6.8,4.06
1.01,Good,G,SI1,63.6,58,4195,6.29,6.35,4.02
1,Very Good,G,SI2,60,62,4195,6.45,6.48,3.88
0.73,Ideal,D,VS1,61.5,58,4196,5.76,5.79,3.55
1.11,Premium,I,SI2,61.5,58,4196,6.65,6.61,4.08
1.06,Ideal,H,SI1,62.7,57,4196,6.53,6.48,4.08
1.11,Ideal,E,SI2,62,57,4196,6.67,6.63,4.12
1.11,Premium,I,SI2,61.8,58,4196,6.66,6.61,4.1
1.01,Premium,F,SI2,59.6,59,4197,6.59,6.52,3.91
1,Ideal,F,SI2,61.8,57,4197,6.36,6.45,3.96
1.06,Very Good,I,SI1,62.7,56,4197,6.46,6.5,4.06
1.18,Premium,J,SI2,61.3,60,4197,6.78,6.83,4.17
